Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Shinobi Breaker ;Shinobi Breaker v35+1.1 -QU;com.Donuts.InfinityBreaker;35;2021-06-05 10:48 UTC;88
Verto Studio VR ;Verto Studio VR v251+2.5.1 -QU;com.vertostudio.vertostudiovr;251;2021-06-05 12:54 UTC;70
The VR Titty Bar ;The VR Titty Bar v1+0.1 -unknown;com.ApexVR.ttBAR;1;2021-06-05 11:51 UTC;180
Deisim ;Deisim v93+1.38 -FFA;com.MyronSoftware.Deisim;93;2022-09-02 05:54 UTC;375
Snakes Roam ;Snakes Roam v2+2 -FFA;com.DefaultCompany.VRGame;2;2021-10-12 10:26 UTC;109
Face Your Fears 2 ;Face Your Fears 2 v487009+1.0.487009 -VRP;gg.trs.fyf2;487009;2021-08-20 00:59 UTC;2154
Mothergunship VR ;Mothergunship VR v75+1.175 -FFA;com.terribleposture.MGSVR;75;2022-10-26 02:31 UTC;1127
Pirates on Deck VR ;Pirates on Deck VR v2+1.0 -VRP;com.boltvirtual.piratesondeck;2;2021-10-01 00:23 UTC;113
Iron Guard VR ;Iron Guard VR v105+v0.257 -FFA;com.XlabDigital.IronGuardVR;105;2022-01-19 23:29 UTC;1502
AUDICA ;AUDICA v128543601+1.0.3.2 -QU (with DLC);com.harmonixmusic.kata;128543601;2021-06-05 13:33 UTC;627
DanceWorkoutVR ;DanceWorkoutVR v4+4 -FFA;jijia.DanceWorkout.DanceWorkoutVR;4;2022-01-20 07:43 UTC;450
JUST HOOPS ;JUST HOOPS v182+1.3.66 -FFA;io.rc.gba;182;2022-02-19 03:43 UTC;248
Floor Plan 2 ;Floor Plan 2 v125+1.0.2.7 -QU;com.turbobutton.fp2;125;2021-06-05 08:03 UTC;952
Bionic Hunter The Ancient Sword ;Bionic Hunter The Ancient Sword v25+3.84 -FFA;com.AnomosStudios.BionicHunterTheAncientSword;25;2022-05-17 20:42 UTC;1494
SUP Island ;SUP Island v17+0.8 -FFA;com.ezone.sup;17;2022-09-18 15:41 UTC;611
The Secret of Retropolis ;The Secret of Retropolis v6+0.563 -FFA;com.PeanutButton.Retropolis;6;2021-11-06 00:09 UTC;704
NeonKite ;NeonKite v22+0.6.1.4 -FFA;com.VirtualProjection.NeonKite;22;2022-01-16 18:41 UTC;150
Hypnosis Reveries ;Hypnosis Reveries v4+0.2 -FFA;com.JesStudio.HypnosisReveries;4;2022-04-17 14:41 UTC;83
Boxed ;Boxed v4+0.4 -FFA;com.GlobeOtter.Blocked;4;2021-10-15 18:24 UTC;55
DSM - Case Files ;DSM - Case Files v14+2.6a -FFA;com.GearWorxProductions.DSMCaseFiles;14;2021-12-17 18:42 UTC;1021
Gunship Sequel WW2 VR ;Gunship Sequel WW2 VR v220+5.5.00 -FFA;com.phanotek.wingsofduty;220;2022-10-10 15:31 UTC;1618
Monster Junction VR ;Monster Junction VR v5+1.01 -ITCH;com.ThunderCorp.MonsterJunctionVR;5;2021-10-12 08:33 UTC;287
Sweet Surrender VR ;Sweet Surrender VR v1098+1.1098 -FFA;com.SalmiGmbH.SweetSurrenderVRTests;1098;2022-11-18 21:31 UTC;297
Crazy World VR ;Crazy World VR v1067+1.067 -VRP;com.pixelpimps.psn;1067;2021-09-01 08:55 UTC;409
QuestForRunia ;QuestForRunia v19+1.02 -FFA;com.Cykyria.QuestForRunia;19;2022-07-10 14:41 UTC;481
Swarm ;Swarm v1285+1285 -FFA;com.sketchbox.Grapple;1285;2022-08-02 02:42 UTC;1180
MLB HOME RUN DERBY VR ;MLB HOME RUN DERBY VR v57+1.68 -FFA;com.mlb.HomeRunDerbyVR_Quest_Lab;57;2022-08-28 17:42 UTC;1127
Race for Fun ;Race for Fun v14+0.85 -FFA;com.RaptorsGames.RaceForFun;14;2021-12-24 08:18 UTC;1248
VR Aim Trainer ;VR Aim Trainer v1+1.0 -unknown;com.aim.vraimtrainer;1;2021-06-05 12:33 UTC;87
Tribe XR - DJ in VR ;Tribe XR - DJ in VR v1291+0.10.0-QuestPro -FFA;com.TribeXR.TribeXR;1291;2022-10-26 02:33 UTC;1460
Refuge VR ;Refuge VR v1+0.1 -unknown;com.Meditation.RefugeVRv1;1;2021-06-05 10:20 UTC;1761
Dreadhalls ;Dreadhalls v10619+1.6.19 -QU;com.WhiteDoorGames.DreadhallsQuest;10619;2021-06-05 07:25 UTC;230
